index,repo_name,ncloc,code_smells,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
235,ginatrapani/narrowthegap,30500.0,4.0,57.0,react,7,28,60
236,owncloud-archive/maps,13554.0,290.0,5727.0,No framework identified,19,19,167
237,gulpjs/gulpjs.github.io,1243.0,8.0,57.0,react,5,2,56
238,Dwyte/cipher-chat,2004.0,39.0,178.0,react,1,16,66
239,didoesdigital/typey-type,17287.0,289.0,2275.0,react,1,91,1693
240,rocky-linux/rockylinux.org,2784.0,8.0,27.0,react,13,49,223
241,PastVu/pastvu,104960.0,2429.0,72588.0,express,33,109,2628
242,videojs/videojs.com,6419.0,175.0,123.0,react,2,16,113
243,cloudspokes/arena-web,18660.0,426.0,24283.0,No framework identified,339,49,261
244,victor-stone/dig-react,18690.0,126.0,1480.0,react,1,31,324
245,Pustur/whatsapp-chat-parser-website,1106.0,9.0,75.0,react,3,9,79
246,u-wave/web,20787.0,130.0,995.0,react,92,306,1608
247,farmOS/farmOS-client,8224.0,39.0,649.0,vue,93,127,1187
248,NLeRoy917/spottydata,2446.0,52.0,1654.0,react,10,26,177
249,allegro/selena,11723.0,890.0,5606.0,No framework identified,1,0,1
250,ezra-bible-app/ezra-bible-app,36288.0,1336.0,27053.0,No framework identified,59,241,2483
251,cozy/cozy-files,153504.0,10971.0,172395.0,No framework identified,102,73,598
252,acss-io/acss-site,591.0,18.0,138.0,react,6,15,295
253,te-online/timemanager,21776.0,1294.0,12657.0,No framework identified,7,1,65
254,sandanat/vue-pdf-app,210121.0,3496.0,282711.0,vue,10,3,105
255,chaijs/chaijs.github.io,12130.0,414.0,6817.0,No framework identified,4,10,125
256,codeforamerica/city-analytics-dashboard,1777.0,92.0,126.0,No framework identified,6,11,209
257,omenking/swap-n-pop,47592.0,1495.0,22582.0,No framework identified,42,46,480
258,codexa/firetext,10707.0,412.0,4076.0,No framework identified,47,97,677
259,media-centre/makenews,28965.0,227.0,1241.0,react,25,305,1663
260,roelandp/hivewallet,43803.0,1992.0,34413.0,No framework identified,4,5,58
261,baruchiro/israeli-bank-scrapers-desktop,3218.0,14.0,167.0,vue,15,29,382
262,avinashkranjan/Recess,2512.0,130.0,115.0,react,4,7,131
263,atheme-legacy/iris,12239.0,388.0,4213.0,No framework identified,2,58,394
264,InclineDigital/user-agent.io,855.0,12.0,67.0,react,2,9,40
265,Cambalab/ns-vue-radio,1358.0,9.0,79.0,No framework identified,12,10,174
266,Lambda-School-Labs/LabsPT1_bkwds,13066.0,192.0,488.0,react,12,152,1034
267,code4romania/covid-19-date-la-zi,2545.0,4.0,110.0,react,16,33,236
268,Proof-Of-Humanity/proof-of-humanity-web,14064.0,42.0,779.0,react,73,288,525
269,rossengeorgiev/habitat-mobile-tracker,7500.0,244.0,3805.0,No framework identified,28,113,393
270,alphagov/spotlight,25452.0,222.0,1749.0,backbone,2,279,2358
271,NeurophysVis/SpectraVis,3274.0,160.0,342.0,No framework identified,5,17,200
272,nt1m/media-player,1889.0,25.0,291.0,No framework identified,8,24,173
273,dag10/DJ,21570.0,432.0,28410.0,backbone,11,31,389
274,neoxygen/graphgen,13718.0,406.0,5847.0,No framework identified,1,2,29
275,cydrobolt/scribeline,921.0,49.0,178.0,express,2,20,52
276,strukturart/o.map,69987.0,10613.0,55251.0,No framework identified,6,16,173
277,eneiluj/cospend-nc,11897.0,68.0,978.0,vue,11,181,1020
278,bencodrington/phanary,20009.0,740.0,67151.0,express,3,23,145
279,sebastian-software/edge,4933.0,72.0,514.0,react,3,52,727
280,zroyer/juggle-and-drop,1982.0,21.0,80.0,react,2,14,83
281,reactjs/pl.reactjs.org,6690.0,38.0,260.0,react,3,63,762
282,temporalio/web,10800.0,59.0,820.0,vue,39,37,338
283,iorestoacasa-work/iorestoacasa.work,28628.0,1155.0,9769.0,No framework identified,3,5,18
284,neomjs/covid-dashboard,3860.0,31.0,358.0,No framework identified,1,0,34
285,itsnitinr/driwwwle,3656.0,46.0,241.0,react,5,12,124
286,iamdarshshah/hacktoberfest-participants,1006.0,3.0,31.0,react,1,16,31
287,racker/gutsy,16409.0,639.0,11037.0,express,11,136,913
288,bbc/talexample,553.0,3.0,24.0,express,2,2,40
289,paperjs/paperjs.org,17951.0,504.0,13684.0,No framework identified,2,9,144
290,LLK/scratchjr-website,4483.0,53.0,112.0,react,11,11,121
291,MatthewLavine/NodeJS-Chat,5297.0,213.0,1495.0,express,4,14,186
292,appirio-tech/topcoder-app,19104.0,170.0,1968.0,angular,113,426,2496
293,Plant-for-the-Planet-org/treecounter-app,77163.0,1242.0,5233.0,react,1455,1107,5519
294,newrelic/docs-website,16446.0,194.0,887.0,react,181,312,2459
295,mozilla/chatspaces,1477.0,42.0,313.0,express,9,60,173
296,cheminfo/wikipedia,395060.0,10397.0,179109.0,No framework identified,3,11,91
297,alicedapp/AliceX,13146.0,367.0,663.0,react,1,30,302
298,basset/basset,30916.0,258.0,1486.0,react,13,27,63
299,StretchShop/StretchShop,10319.0,249.0,3086.0,No framework identified,6,19,130
