index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
238,flappy-royale/flappy-royale,10140.0,173.0,62.0,1165.0,No framework identified,15,70,702
239,tagyoureit/nodejs-poolController,27953.0,1123.0,523.0,11289.0,express,60,48,736
240,Activiti/activiti-modeling-app,36684.0,184.0,343.0,1578.0,angular,4,257,663
241,crypto-com/chain-desktop-wallet,14758.0,117.0,40.0,842.0,react,21,125,1325
242,gnosis/safe-react,36913.0,298.0,115.0,2516.0,react,592,271,1086
243,LiveSplit/LiveSplitOne,7530.0,78.0,43.0,930.0,react,61,22,382
244,hyperspacedev/hyperspace,11615.0,141.0,192.0,1021.0,react,49,29,440
245,massif-press/compcon,33594.0,270.0,84.0,2898.0,vue,895,640,1769
246,robertknight/passcards,21243.0,272.0,237.0,1723.0,react,21,63,868
247,lazerwalker/azure-mud,9204.0,233.0,59.0,849.0,react,57,82,735
248,jussikinnula/angular-socket-io-chat,1052.0,23.0,27.0,58.0,angular,1,2,27
249,microsoftgraph/microsoft-graph-explorer,7512.0,62.0,57.0,395.0,angular,11,89,881
250,Teyvat-Moe/Teyvat.moe,11511.0,162.0,47.0,665.0,react,55,12,43
251,zyrouge/yukino-app,7776.0,80.0,46.0,805.0,vue,7,2,20
252,solendil/FractalJS,3260.0,33.0,43.0,353.0,react,15,159,798
253,4gray/iptvnator,3729.0,20.0,12.0,158.0,angular,7,25,165
254,fttx/barcode-to-pc-app,4959.0,161.0,17.0,1135.0,angular,52,82,416
255,pdepip/mmap.it,1607.0,67.0,18.0,110.0,react,11,32,92
256,ethersphere/bee-dashboard,3816.0,40.0,0.0,224.0,react,7,31,60
257,natixco/tabby,1344.0,15.0,11.0,80.0,angular,3,3,39
258,lowmess/lowmess.com,2184.0,7.0,0.0,32.0,react,1,9,125
259,FrogTheFrog/steam-gyro-for-cemuhook,4708.0,40.0,78.0,927.0,angular,4,11,65
260,justindujardin/angular-rpg,16285.0,179.0,352.0,1420.0,angular,2,58,206
261,frzyc/genshin-optimizer,29841.0,533.0,314.0,2301.0,react,2,22,116
262,transistorsoft/cordova-background-geolocation-SampleApp,3478.0,29.0,76.0,188.0,angular,15,2,122
263,elyukai/optolith-client,82621.0,1068.0,704.0,5195.0,react,371,183,1237
264,inkandswitch/capstone,2787.0,22.0,29.0,276.0,react,12,86,1114
265,formium/formium,2762.0,48.0,121.0,272.0,react,11,2,40
266,InseeFrLab/keycloakify,11565.0,29.0,10.0,177.0,react,3,16,133
267,azu/irodr,4519.0,19.0,26.0,288.0,react,16,96,178
268,runbox/runbox7,32740.0,260.0,423.0,3372.0,angular,83,565,1282
269,cybersemics/em,38408.0,924.0,102.0,4232.0,react,343,98,1858
270,airgap-it/airgap-wallet,17296.0,207.0,179.0,1345.0,angular,4,529,1555
271,Azure/azure-iot-explorer,26461.0,152.0,190.0,1243.0,react,30,75,192
272,demokratie-live/democracy-client,37711.0,604.0,673.0,1035.0,react,263,207,1019
273,LiskHQ/lisk-core,7829.0,75.0,16.0,386.0,No framework identified,87,57,505
274,Prisma-care/mobile-app,4316.0,90.0,25.0,145.0,angular,20,97,392
275,intershop/intershop-pwa,103794.0,351.0,61.0,4242.0,angular,79,493,3746
276,microsoft/tilecode,6756.0,123.0,3.0,1474.0,No framework identified,28,138,924
277,ashfurrow/blog,6774.0,16.0,30.0,104.0,react,39,3,171
278,moshfeu/y2mp3,2301.0,15.0,10.0,159.0,react,13,10,76
279,vincentlaucsb/experiencer,5617.0,83.0,16.0,456.0,react,1,7,239
280,artutra/OpenChord,4878.0,84.0,4.0,406.0,react,9,27,436
281,bullhorn/career-portal,1945.0,26.0,155.0,201.0,angular,24,24,96
282,daostack/alchemy,18336.0,356.0,518.0,2599.0,react,197,694,3227
283,d4l-data4life/covapp,5319.0,81.0,11.0,399.0,No framework identified,1,4,31
284,dittos/diffmonster,4676.0,169.0,19.0,300.0,react,1,2,14
285,ionic-team/ionic-stencil-conference-app,1847.0,23.0,55.0,113.0,No framework identified,4,34,93
286,aredden/electron-G14Control,10118.0,125.0,89.0,1321.0,react,4,32,134
287,gigocabrera/MoneyLeash2,3841.0,50.0,55.0,269.0,angular,2,67,148
288,neo-one-suite/neo-one,159656.0,979.0,806.0,10270.0,react,115,331,1046
289,dedpnd/yaradio-yamusic,733.0,13.0,5.0,70.0,vue,9,8,16
290,commudle/commudle-ng,32630.0,489.0,284.0,1507.0,angular,1,284,1136
291,remap-keys/remap,78549.0,299.0,95.0,1582.0,react,40,128,910
292,ritz078/raaga,3338.0,40.0,21.0,211.0,react,5,66,152
293,burst-apps-team/phoenix,23920.0,179.0,266.0,1250.0,angular,126,280,457
294,cheshire137/competiwatch-desktop,8454.0,63.0,66.0,880.0,react,11,2,279
295,dzcode-io/dzcode.io,6010.0,78.0,0.0,355.0,react,21,71,454
296,qusly/qusly,5450.0,60.0,47.0,393.0,react,1,124,543
297,peterpeterparker/tietracker,6614.0,56.0,17.0,803.0,react,12,62,409
298,onflow/flow-playground,8721.0,71.0,123.0,412.0,react,9,7,52
299,ArkEcosystem/mobile-wallet,20833.0,159.0,167.0,915.0,angular,33,257,784
300,jsynowiec/airqmon,2314.0,14.0,0.0,121.0,react,10,8,221
301,commandeer/open,2138.0,66.0,29.0,215.0,vue,34,3,108
302,cherrytwist/client-web,27957.0,185.0,17.0,1317.0,react,171,113,1797
303,sef-global/scholarx-frontend,4486.0,25.0,5.0,294.0,react,37,2,101
304,Joystream/pioneer,78765.0,412.0,468.0,2011.0,react,37,70,722
305,rolling-scopes-school/RSS-Teams-FE,7038.0,37.0,30.0,304.0,react,13,187,474
