index,repo_name,ncloc,code_smells,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
265,Cambalab/ns-vue-radio,1358,9,79,No framework identified,12,10,174
266,Lambda-School-Labs/LabsPT1_bkwds,13066,192,488,react,12,152,1034
267,code4romania/covid-19-date-la-zi,2545,4,110,react,16,33,236
268,Proof-Of-Humanity/proof-of-humanity-web,14064,42,779,react,73,288,525
269,rossengeorgiev/habitat-mobile-tracker,7500,244,3805,No framework identified,28,113,393
270,alphagov/spotlight,25452,222,1749,backbone,2,279,2358
271,NeurophysVis/SpectraVis,3274,160,342,No framework identified,5,17,200
272,nt1m/media-player,1889,25,291,No framework identified,8,24,173
273,dag10/DJ,21570,432,28410,backbone,11,31,389
274,neoxygen/graphgen,13718,406,5847,No framework identified,1,2,29
275,cydrobolt/scribeline,921,49,178,express,2,20,52
276,strukturart/o.map,69987,10613,55251,No framework identified,6,16,173
277,eneiluj/cospend-nc,11897,68,978,vue,11,181,1020
278,bencodrington/phanary,20009,740,67151,express,3,23,145
279,sebastian-software/edge,4933,72,514,react,3,52,727
280,zroyer/juggle-and-drop,1982,21,80,react,2,14,83
281,reactjs/pl.reactjs.org,6690,38,260,react,3,63,762
282,temporalio/web,10800,59,820,vue,39,37,338
283,iorestoacasa-work/iorestoacasa.work,28628,1155,9769,No framework identified,3,5,18
284,neomjs/covid-dashboard,3860,31,358,No framework identified,1,0,34
285,itsnitinr/driwwwle,3656,46,241,react,5,12,124
286,iamdarshshah/hacktoberfest-participants,1006,3,31,react,1,16,31
287,racker/gutsy,16409,639,11037,express,11,136,913
288,bbc/talexample,553,3,24,express,2,2,40
289,paperjs/paperjs.org,17951,504,13684,No framework identified,2,9,144
290,LLK/scratchjr-website,4483,53,112,react,11,11,121
291,MatthewLavine/NodeJS-Chat,5297,213,1495,express,4,14,186
292,appirio-tech/topcoder-app,19104,170,1968,angular,113,426,2496
293,Plant-for-the-Planet-org/treecounter-app,77163,1242,5233,react,1455,1107,5519
294,newrelic/docs-website,16446,194,887,react,181,312,2459
295,mozilla/chatspaces,1477,42,313,express,9,60,173
296,cheminfo/wikipedia,395060,10397,179109,No framework identified,3,11,91
297,alicedapp/AliceX,13146,367,663,react,1,30,302
298,basset/basset,30916,258,1486,react,13,27,63
299,StretchShop/StretchShop,10319,249,3086,No framework identified,6,19,130
300,actualbudget/actual,44639,1248,7859,react,188,14,63
301,Reamd7/notion-zh_CN,10570,30,129,No framework identified,3,5,66
302,pot-app/pot-desktop,8822,237,1879,react,89,23,47
303,nolanlawson/fuite,6015,906,1329,angular,8,30,34
304,dragonir/3d,25998,2287,3996,react,1,3,82
305,kkoomen/pointless,3175,17,362,react,4,9,51
306,chetannada/Namaste-React,6541,60,115,react,2,6,50
307,VideoTogether/VideoTogether,74236,1553,25732,No framework identified,3,23,78
308,adrianhajdin/project_music_player,1100,3,64,react,1,13,45
309,lyfe00011/whatsapp-bot-md,4343,60,825,No framework identified,61,68,94
310,duiqt/herta_kuru,647,24,75,No framework identified,2,17,77
311,avinash201199/Competitions-and-Programs-List,1223,4,15,No framework identified,14,2,37
312,illustrated-machine-learning/illustrated-machine-learning.github.io,1399,5,29,react,2,7,45
313,keldenl/gpt-llama.cpp,1908,79,305,express,14,20,73
314,EyuCoder/chatgpt-clone,620,4,42,react,9,6,65
315,gamer-ai/eletypes-frontend,3908,43,320,react,4,19,73
316,cocktailpeanut/breadboard,171,8,38,No framework identified,7,23,74
317,revenz/Fenrus,34518,1246,9389,No framework identified,25,17,62
318,mafiosnik777/enhancr,8384,1092,2181,No framework identified,6,26,73
319,jvdutrag/open-source-rpg,3166,11,148,react,1,1,42
320,idurar/starter-antd-admin-crud-auth-mern,5374,83,292,react,1,6,34
321,titaniumnetwork-dev/Ultraviolet,5606,47,965,No framework identified,19,11,51
322,benbrown/shuttlecraft,2942,53,588,express,16,18,61
323,lucahammer/fedifinder,1999,95,483,express,18,19,69
324,badlogic/heissepreise,6546,183,1663,express,14,11,75
325,iprodanovbg/homeassistant-desktop,681,6,158,No framework identified,7,23,51
326,dynamicweb/swiffy-slider,324,10,89,No framework identified,20,6,34
327,tenpages/us-level,1733,7,74,No framework identified,1,14,58
328,OpenAsar/arrpc,674,24,193,No framework identified,5,6,66
329,wenhaomin/ChatGPT-PromptGenius,22113,1474,32735,No framework identified,2,9,70
330,easonwong-de/Adaptive-Tab-Bar-Colour,1633,84,451,No framework identified,17,2,67
331,arduino/lab-micropython-editor,4599,433,1599,No framework identified,10,16,85
332,rstudio/shinyuieditor,108,2,5,,22,12,52
333,dataplane-app/dataplane,29038,220,2664,react,12,12,61
334,ericdiviney/react-handbook,4585,9,124,react,3,5,36
335,artgenexyz/webflow-nft-components,1567,24,218,react,9,40,76
336,Tairraos/TikDown,832,11,78,No framework identified,1,5,49
337,Clueless-Community/first-contribution,4949,7,20,react,13,4,92
338,zach-hopkins/create-t3svelte-app,469,17,79,No framework identified,6,6,31
339,OSSPhilippines/philippines-travel-level-map,1498,8,16,react,4,18,54
340,LunarVim/lunarvim.org,1386,13,54,react,8,8,31
341,foyzulkarim/mern-video-streaming,5966,40,224,react,4,2,51
342,Shopify/shopify-app-examples,1578,12,103,react,2,14,81
343,amupedia2021/Project-Amupedia,6494,73,166,react,99,5,56
344,socketsupply/create-socket-app,660,6,89,No framework identified,9,9,45
345,bytemakers/Noteslify,5095,155,246,react,46,13,63
346,R2Northstar/NorthstarMasterServer,1971,46,384,No framework identified,1,27,76
347,tdjsnelling/sqtracker,11564,120,1144,react,10,26,79
348,fjwillemsen/NativeOverleaf,1699,85,459,No framework identified,5,9,61
349,immortalwrt/homeproxy,2775,200,640,No framework identified,3,8,34
350,joshcawthorne/LunaDesk,5842,157,198,react,3,5,65
351,MonalikaPatnaik/UMatter,5167,111,127,react,165,19,82
352,ckalgos/fut-trade-enhancer,6868,40,785,No framework identified,29,25,51
353,Project-And-Factory/BlurLyric,12292,253,1323,vue,7,7,67
354,acikyazilimagi/deprem-io-backend,1536,31,204,No framework identified,10,36,72
355,alphabit-technology/erpnext-restaurant,5481,59,963,No framework identified,3,3,64
356,Kanika637/amazon-clone,2064,47,46,react,21,3,57
357,Meta3D-Technology/Meta3D,67065,9177,11075,react,1,12,32
358,Akshima-Ghai/OneEducationalWebsiteForAll,4347,29,196,react,11,2,68
359,Daksh777/TakeABreak,1013,155,315,No framework identified,22,2,56
360,harshmangalam/hydrogen-solidjs-client,8308,62,122,No framework identified,8,26,89
361,small-tech/nodekit,3384,154,391,foundation,3,13,77
362,neesjanvaneck/VOSviewer-Online,11363,52,1690,react,13,15,40
363,GregVido/mica-electron,401,1,56,No framework identified,7,17,32
364,Stoccoin-Official/Stoccoin-Website,2260,10,62,react,40,16,67
365,dappnetbby/dappnet,3063,268,376,react,13,8,62
366,UBA-GCOEN/StichHub,19159,556,665,react,17,7,59
367,davunt/app-eraser,716,11,43,No framework identified,1,4,42
368,sudojia/scripts,365,1,98,No framework identified,1,1,57
369,shi-yan/Epiphany,4651,198,1081,No framework identified,2,20,73
370,OrbisWeb3/orbis-sdk,2238,89,402,No framework identified,1,4,34
371,StreamAble-Team/StreamAble-app,12358,296,376,react,10,16,58
372,rohansx/informatician,5801,54,152,react,201,26,83
373,quiqr/quiqr-desktop,19886,376,2326,react,111,13,59
374,TeamAOF/All-of-Fabric-6,7626,2,20,No framework identified,57,7,48
375,llopisdon/skies-adsb,1332,9,189,No framework identified,1,12,67
376,lmachens/skeleton,974,4,143,No framework identified,4,5,43
377,gabrysia694/Gym-Junkies,1026,6,27,react,17,8,33
378,usmansbk/pomofocus,1152,0,44,react,1,2,85
379,ZigZagExchange/frontend,21625,218,2302,react,24,40,94
380,Persian-Caesar/Ticker-Boy,2465,118,698,express,1,3,68
381,jessejanderson/skylink,182,2,69,No framework identified,3,6,42
382,CTF-Cafe/CTF_Cafe_platform,12275,255,1737,react,11,6,83
383,GamerKingFaiz/shouldiplay,736,3,40,react,3,6,51
384,ianb/llm-garden,16341,177,2400,preact,2,13,95
385,leomcelroy/svg-pcb,31018,2282,9228,No framework identified,6,10,95
386,seths10/Quotes-Generator,6921,3,4,No framework identified,1,4,88
387,cyboholics/portfolioshop,4374,54,118,react,7,3,31
388,whitespider-dev/whitespider,100842,6702,22715,No framework identified,1,2,57
389,leolee9086/cc-image-tag-new,73445,4133,60205,No framework identified,18,4,76
390,NovaAppsInc/fracital-proxy,60164,8935,42512,express,6,1,37
391,spandan114/Crowdfunding-DAPP,1314,51,69,react,1,2,34
392,terwer/siyuan-plugin-publisher,10344,26,711,vue,24,14,58
393,zoom/zoomapps-sample-js,526,0,50,express,3,7,53
394,GrabBits/GrabBits_Website,4819,63,194,react,33,21,59
395,shohan-pherones/euphoria-ecommerce,2231,5,64,react,2,9,94
396,developerforce/salesforce-slack-starter-kit,1199,3,73,express,5,18,46
