index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
278,moshfeu/y2mp3,2301,15,10,159,react,13,10,76
279,vincentlaucsb/experiencer,5617,83,16,456,react,1,7,239
280,artutra/OpenChord,4878,84,4,406,react,9,27,436
281,bullhorn/career-portal,1945,26,155,201,angular,24,24,96
282,daostack/alchemy,18336,356,518,2599,react,197,694,3227
283,d4l-data4life/covapp,5319,81,11,399,No framework identified,1,4,31
284,dittos/diffmonster,4676,169,19,300,react,1,2,14
285,ionic-team/ionic-stencil-conference-app,1847,23,55,113,No framework identified,4,34,93
286,aredden/electron-G14Control,10118,125,89,1321,react,4,32,134
287,gigocabrera/MoneyLeash2,3841,50,55,269,angular,2,67,148
288,neo-one-suite/neo-one,159656,979,806,10270,react,115,331,1046
289,dedpnd/yaradio-yamusic,733,13,5,70,vue,9,8,16
290,commudle/commudle-ng,32630,489,284,1507,angular,1,284,1136
291,remap-keys/remap,78549,299,95,1582,react,40,128,910
292,ritz078/raaga,3338,40,21,211,react,5,66,152
293,burst-apps-team/phoenix,23920,179,266,1250,angular,126,280,457
294,cheshire137/competiwatch-desktop,8454,63,66,880,react,11,2,279
295,dzcode-io/dzcode.io,6010,78,0,355,react,21,71,454
296,qusly/qusly,5450,60,47,393,react,1,124,543
297,peterpeterparker/tietracker,6614,56,17,803,react,12,62,409
298,onflow/flow-playground,8721,71,123,412,react,9,7,52
299,ArkEcosystem/mobile-wallet,20833,159,167,915,angular,33,257,784
300,jsynowiec/airqmon,2314,14,0,121,react,10,8,221
301,commandeer/open,2138,66,29,215,vue,34,3,108
302,cherrytwist/client-web,27957,185,17,1317,react,171,113,1797
303,sef-global/scholarx-frontend,4486,25,5,294,react,37,2,101
304,Joystream/pioneer,78765,412,468,2011,react,37,70,722
305,rolling-scopes-school/RSS-Teams-FE,7038,37,30,304,react,13,187,474
306,lensterxyz/lenster,40476,210,7722,2553,react,376,16,75
307,immich-app/immich,34338,412,0,2115,react,616,25,45
308,Bin-Huang/chatbox,2822,16,11,207,react,280,9,50
309,FlowiseAI/Flowise,14664,195,184,1577,react,85,17,68
310,ixahmedxi/noodle,2323,14,0,44,react,13,15,48
311,teaxyz/cli,655,20,4,175,No framework identified,146,13,77
312,yaklang/yakit,2988,69,1323,219,react,64,13,90
313,e2b-dev/e2b,9514,64,82,472,react,13,3,76
314,lenstube-xyz/lenstube,49056,378,2217,1405,react,45,30,60
315,futantan/OpenGpt,2603,29,11,146,react,6,14,80
316,bluesky-social/social-app,46790,1747,151,3727,react,198,30,83
317,Lissy93/web-check,1268,14,109,80,react,3,7,60
318,liou666/polyglot,2587,29,12,148,,14,14,56
319,Mayandev/notion-avatar,1410,11,5,36,react,2,23,58
320,gmpetrov/databerry,3200,100,286,112,react,4,30,89
321,rainbow-me/rainbowkit,1902,4,25,85,react,236,46,59
322,cfortuner/promptable,4958,255,121,264,react,2,8,52
323,ballerine-io/ballerine,40586,209,0,1355,react,20,34,72
324,analogjs/analog,9051,56,73,472,,81,25,51
325,Mirrorful/mirrorful,17765,87,0,713,react,39,24,68
326,expo/router,19582,224,184,1708,react,143,28,51
327,silverbulletmd/silverbullet,16843,299,290,2322,No framework identified,78,8,66
328,chronark/highstorm,8764,217,7,341,react,2,21,75
329,figment-networks/learn-web3-dapp,17151,350,52,1184,react,14,16,44
330,cybersecsi/houdini,1181,9,0,70,react,2,13,38
331,kubero-dev/kubero,10325,158,103,606,vue,23,9,39
332,opengs/uashield,3705,21,0,204,vue,21,15,55
333,Shelf-nu/shelf.nu,14412,53,6,666,react,20,13,73
334,jeremyckahn/chitchatter,5877,8,9,388,react,5,26,77
335,vriteio/vrite,28978,232,53,2407,No framework identified,3,41,72
336,aeharding/voyager,17506,88,0,1340,react,61,7,69
337,KnowledgeCanvas/knowledge,16876,155,294,1723,angular,16,11,65
338,getstation/desktop-app,42175,992,952,2244,react,63,20,50
339,upupming/new-grad-positions,2428,2,4,78,react,1,8,57
340,42atomys/stud42,9312,53,16,382,react,24,23,38
341,clerkinc/t3-turbo-and-clerk,563,9,0,17,react,26,6,46
342,remix-run/indie-stack,1356,1,0,90,react,67,10,37
343,deiucanta/chatpad,2512,16,14,178,react,2,6,33
344,stonith404/pingvin-share,11366,44,9,466,react,57,31,64
345,Kuingsmile/PicList,26702,191,368,3447,vue,25,17,52
346,dyrector-io/dyrectorio,49594,361,207,3454,react,8,31,56
347,bamlab/flashlight,6850,45,2,377,react,16,23,44
348,skynexui/components,2370,18,0,57,react,5,16,35
349,juliusmarminge/acme-corp,8459,56,0,242,react,5,17,44
350,revoltchat/desktop,412,2,3,75,No framework identified,37,13,32
351,dust-tt/dust,52492,481,105,5608,react,35,26,86
352,leerob/on-demand-isr,514,3,5,7,react,229,10,50
353,OrJDev/create-jd-app,2450,12,0,244,No framework identified,22,10,33
354,vendetta-mod/Vendetta,2242,41,85,307,react,8,16,91
355,nocode-js/sequential-workflow-designer,7668,30,0,528,,8,7,64
356,cosmograph-org/cosmos,753,2,0,27,No framework identified,5,7,82
357,langchain-ai/auto-evaluator,2193,22,7,88,react,12,12,54
358,Memmy-App/memmy,22295,96,121,1058,react,229,29,65
359,burhan-syed/troddit,22671,784,229,4295,react,30,24,86
360,divriots/jampack,2065,33,8,371,,4,8,37
361,antvis/G6VP,21171,212,749,1226,react,20,35,72
362,hadmean/hadmean,52332,123,59,1165,react,3,15,100
363,mirror-xyz/degen,6829,23,8,225,react,1,9,42
364,FightingDesign/fighting-design,18211,105,0,792,vue,8,18,73
365,diego3g/rsxp-2023,1349,8,0,41,react,3,8,56
366,mui/mui-toolpad,25103,190,223,2347,react,151,3,41
367,wslyvh/nexth,1830,13,4,131,,4,5,50
368,mdSilo/mdSilo-app,5263,74,0,625,react,12,7,60
369,nombersDev/casemove,16419,191,164,1562,react,14,13,56
370,adrianhajdin/project_nextjs13_flexibble,1551,15,2,62,react,5,12,97
371,benallfree/pockethost,6424,126,77,574,No framework identified,28,23,66
372,pingcap/ossinsight-lite,10520,144,164,922,react,13,40,68
373,mantou132/nesbox,17684,172,60,1726,No framework identified,19,1,87
374,remix-run/grunge-stack,1263,0,2,77,react,15,13,43
375,premAI-io/prem-app,6580,69,3,185,react,17,22,67
376,kiliman/remix-typedjson,685,10,6,86,react,6,2,31
377,liaoliao666/v2ex,7447,33,40,450,react,2,27,86
378,gemworks/gem-farm,17204,95,72,400,,23,18,59
379,jycouet/kitql,2044,28,0,253,react,26,8,31
380,mlomb/chat-analytics,1740,42,36,228,react,13,13,87
381,Dun-sin/Code-Magic,2546,27,0,203,No framework identified,70,20,39
382,pheralb/slug,1815,16,0,64,react,1,3,70
383,denoland/showcase_chat,1191,12,0,50,No framework identified,5,23,66
384,AlexandroMtzG/remix-page-blocks,9024,76,14,652,react,1,5,42
385,priyankarpal/ProjectsHut,1675,30,7,72,react,20,28,40
386,MananTank/cybertype,1508,8,0,144,react,1,9,45
387,calcom/synclinear.com,4890,35,14,775,react,43,16,89
388,harlan-zw/nuxt-delay-hydration,904,13,1,106,No framework identified,15,18,36
389,FuelLabs/swayswap,10296,52,0,398,react,45,48,83
390,jbilcke/latent-browser,1396,17,6,31,react,4,17,46
391,nrwl/monorepo.tools,4590,3,3,16,react,1,9,47
392,noahflk/railtrack,4253,12,0,242,react,6,5,68
393,danloh/mdSilo-web,8903,91,0,780,react,3,14,94
394,skillrecordings/products,8977,69,1276,407,,11,21,78
395,FrontendMasters/remix-fundamentals,26571,117,0,1751,react,3,9,46
396,tastejs/angular-movies,5351,29,51,183,angular,4,10,31
397,zerforschung/schnelltesttest.de,1381,15,1,118,react,1,8,45
